latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-13.335,49.23193,328.96,1.64,1.26,2025-11-01,0603,Terra,MODIS,82,6.1NRT,298.92,38.71,D
-12.80931,49.24479,325.95,1.62,1.25,2025-11-01,0603,Terra,MODIS,67,6.1NRT,301.58,24.52,D
-15.8924,47.94341,319.52,1.44,1.19,2025-11-01,0605,Terra,MODIS,36,6.1NRT,306.02,11.37,D
-15.90449,47.95517,317.06,1.45,1.19,2025-11-01,0605,Terra,MODIS,31,6.1NRT,304.35,8.87,D
-15.99784,47.14952,342.55,1.29,1.13,2025-11-01,0605,Terra,MODIS,90,6.1NRT,307.97,48.06,D
-15.91478,45.95119,322.28,1.11,1.05,2025-11-01,0605,Terra,MODIS,47,6.1NRT,306.4,8.05,D
-16.09167,46.4515,320.5,1.18,1.08,2025-11-01,0605,Terra,MODIS,58,6.1NRT,306.04,7.35,D
-16.30136,47.05362,320.98,1.28,1.12,2025-11-01,0605,Terra,MODIS,65,6.1NRT,305.2,10.05,D
-16.30289,47.06541,321.22,1.28,1.12,2025-11-01,0605,Terra,MODIS,60,6.1NRT,304.9,9.6,D
-16.53112,47.74751,316.44,1.43,1.18,2025-11-01,0605,Terra,MODIS,45,6.1NRT,301.76,9.85,D
-16.54165,47.74693,328.05,1.43,1.18,2025-11-01,0605,Terra,MODIS,79,6.1NRT,304.05,29.53,D
-16.55201,47.74492,320.16,1.43,1.18,2025-11-01,0605,Terra,MODIS,69,6.1NRT,304.02,15.65,D
-16.3651,45.95081,322.49,1.12,1.06,2025-11-01,0605,Terra,MODIS,51,6.1NRT,304.86,10.07,D
-16.36644,45.96104,323.16,1.12,1.06,2025-11-01,0605,Terra,MODIS,62,6.1NRT,304.24,10.73,D
-16.73805,46.25293,328.67,1.17,1.08,2025-11-01,0605,Terra,MODIS,78,6.1NRT,304,19.05,D
-16.73948,46.26374,322.38,1.17,1.08,2025-11-01,0605,Terra,MODIS,69,6.1NRT,303.66,10.22,D
-17.0935,46.23379,322.05,1.18,1.08,2025-11-01,0605,Terra,MODIS,71,6.1NRT,305.37,8.84,D
-17.30679,47.17998,319.72,1.34,1.15,2025-11-01,0605,Terra,MODIS,55,6.1NRT,302.92,9.71,D
-17.31692,47.1786,325.56,1.34,1.15,2025-11-01,0605,Terra,MODIS,71,6.1NRT,302.04,19.96,D
-13.67552,49.20606,312.83,1.65,1.26,2025-11-01,0605,Terra,MODIS,50,6.1NRT,296.92,11.41,D
-13.68668,49.20472,313.32,1.65,1.26,2025-11-01,0605,Terra,MODIS,54,6.1NRT,296.64,11.32,D
-13.64671,48.06663,314.66,1.37,1.16,2025-11-01,0605,Terra,MODIS,70,6.1NRT,290.88,13.38,D
-15.00961,47.79556,321.34,1.37,1.16,2025-11-01,0605,Terra,MODIS,74,6.1NRT,304.33,13.2,D
-15.17048,47.86491,324.59,1.39,1.17,2025-11-01,0605,Terra,MODIS,76,6.1NRT,307.11,14.28,D
-15.22402,47.56144,324.51,1.33,1.14,2025-11-01,0605,Terra,MODIS,73,6.1NRT,306.86,11.72,D
-15.52369,47.43037,332.04,1.32,1.14,2025-11-01,0605,Terra,MODIS,82,6.1NRT,308.1,25.86,D
-15.53205,46.79213,320.47,1.21,1.09,2025-11-01,0605,Terra,MODIS,57,6.1NRT,305.5,6.63,D
-15.60461,47.26823,323.01,1.29,1.13,2025-11-01,0605,Terra,MODIS,70,6.1NRT,304.98,12.38,D
-15.60615,47.28004,325.52,1.29,1.13,2025-11-01,0605,Terra,MODIS,74,6.1NRT,305.28,15.99,D
-15.81817,47.99895,317.62,1.45,1.19,2025-11-01,0605,Terra,MODIS,56,6.1NRT,303.89,10.93,D
-15.81979,48.01219,317.25,1.46,1.19,2025-11-01,0605,Terra,MODIS,55,6.1NRT,303.49,10.42,D
-15.89239,48.52062,318.56,1.58,1.24,2025-11-01,0605,Terra,MODIS,52,6.1NRT,300.03,16.79,D
-15.88134,48.52114,350.01,1.58,1.24,2025-11-01,0605,Terra,MODIS,95,6.1NRT,298.48,107.32,D
-15.65782,46.57426,327.8,1.18,1.08,2025-11-01,0605,Terra,MODIS,74,6.1NRT,308.49,14.83,D
-24.95288,45.67031,333.09,1.35,1.15,2025-11-01,0608,Terra,MODIS,82,6.1NRT,304.99,32.64,D
-22.98025,43.75159,328.03,1.05,1.02,2025-11-01,0608,Terra,MODIS,74,6.1NRT,303.11,15.29,D
-22.9893,43.7502,321.81,1.05,1.02,2025-11-01,0608,Terra,MODIS,60,6.1NRT,301.85,8.13,D
-23.08809,43.8009,319.1,1.05,1.03,2025-11-01,0608,Terra,MODIS,36,6.1NRT,302.41,5.93,D
-23.37649,44.87293,318.67,1.17,1.08,2025-11-01,0608,Terra,MODIS,42,6.1NRT,302.26,6.55,D
-23.90462,44.13268,328.97,1.1,1.05,2025-11-01,0608,Terra,MODIS,77,6.1NRT,304.2,16.99,D
-23.906,44.14324,328.88,1.1,1.05,2025-11-01,0608,Terra,MODIS,69,6.1NRT,304.77,16.96,D
-24.01847,44.52634,325.58,1.14,1.07,2025-11-01,0608,Terra,MODIS,72,6.1NRT,303.63,13.34,D
-24.00524,43.71323,321.81,1.06,1.03,2025-11-01,0608,Terra,MODIS,34,6.1NRT,304.82,7.44,D
-24.31636,44.47594,328.58,1.15,1.07,2025-11-01,0608,Terra,MODIS,76,6.1NRT,303.93,16.87,D
-24.81065,45.16358,317.62,1.26,1.11,2025-11-01,0608,Terra,MODIS,37,6.1NRT,298.69,6.47,D
-24.80626,44.56698,323.01,1.17,1.08,2025-11-01,0608,Terra,MODIS,66,6.1NRT,303.75,10.61,D
-24.95047,45.66469,326.41,1.35,1.15,2025-11-01,0608,Terra,MODIS,73,6.1NRT,305.49,20.77,D
-24.95197,45.67784,320.23,1.35,1.15,2025-11-01,0608,Terra,MODIS,58,6.1NRT,304.75,10.65,D
-24.81465,44.36558,332.09,1.15,1.07,2025-11-01,0608,Terra,MODIS,80,6.1NRT,303.14,25.44,D
-24.81605,44.37673,340.23,1.15,1.07,2025-11-01,0608,Terra,MODIS,88,6.1NRT,303.99,40.48,D
-24.8632,44.59913,321.91,1.18,1.08,2025-11-01,0608,Terra,MODIS,51,6.1NRT,305.4,8.48,D
-24.94054,45.06544,324.86,1.24,1.11,2025-11-01,0608,Terra,MODIS,70,6.1NRT,306.2,12.9,D
-20.83583,44.49507,326.24,1.07,1.03,2025-11-01,0608,Terra,MODIS,71,6.1NRT,303.12,11.92,D
-20.83718,44.50509,323.7,1.07,1.03,2025-11-01,0608,Terra,MODIS,66,6.1NRT,303.43,9.1,D
-21.49159,46.34421,323.21,1.34,1.15,2025-11-01,0608,Terra,MODIS,66,6.1NRT,302.71,16.9,D
-21.28434,44.47977,321.48,1.08,1.04,2025-11-01,0608,Terra,MODIS,56,6.1NRT,302.07,8.88,D
-21.29214,44.46828,331.82,1.08,1.04,2025-11-01,0608,Terra,MODIS,79,6.1NRT,301.4,21.66,D
-21.2935,44.47841,332.96,1.08,1.04,2025-11-01,0608,Terra,MODIS,81,6.1NRT,301.78,23.37,D
-21.68308,46.24197,321.94,1.33,1.14,2025-11-01,0608,Terra,MODIS,62,6.1NRT,302.85,11.38,D
-21.72915,46.20465,325.42,1.33,1.14,2025-11-01,0608,Terra,MODIS,71,6.1NRT,303.57,16.97,D
-22.28816,45.61936,321.73,1.24,1.11,2025-11-01,0608,Terra,MODIS,64,6.1NRT,302.35,10.95,D
-22.33792,45.52318,322.9,1.23,1.1,2025-11-01,0608,Terra,MODIS,67,6.1NRT,302.65,11.91,D
-22.33939,45.53493,320.32,1.23,1.1,2025-11-01,0608,Terra,MODIS,60,6.1NRT,302.25,9.03,D
-22.4369,44.22702,331.33,1.08,1.04,2025-11-01,0608,Terra,MODIS,80,6.1NRT,300.37,23.98,D
-22.71535,44.17666,327.29,1.08,1.04,2025-11-01,0608,Terra,MODIS,72,6.1NRT,304.16,15.78,D
-22.71676,44.18723,327.65,1.08,1.04,2025-11-01,0608,Terra,MODIS,74,6.1NRT,302.73,15.54,D
-22.78853,43.76243,319.52,1.05,1.02,2025-11-01,0608,Terra,MODIS,53,6.1NRT,301.83,6.32,D
-22.8545,43.77279,327.21,1.05,1.02,2025-11-01,0608,Terra,MODIS,74,6.1NRT,303.83,14.09,D
-22.86355,43.77143,320.97,1.05,1.02,2025-11-01,0608,Terra,MODIS,59,6.1NRT,303.65,6.97,D
-23.03141,44.41014,321.97,1.11,1.05,2025-11-01,0608,Terra,MODIS,61,6.1NRT,303.66,7.43,D
-17.83574,46.52145,326.14,1.24,1.11,2025-11-01,0608,Terra,MODIS,79,6.1NRT,298.9,22.81,D
-17.83716,46.53272,316.66,1.24,1.11,2025-11-01,0608,Terra,MODIS,65,6.1NRT,298.31,9.99,D
-18.24495,46.20527,321.04,1.21,1.09,2025-11-01,0608,Terra,MODIS,72,6.1NRT,300.72,12.26,D
-18.93655,46.43904,317.82,1.27,1.12,2025-11-01,0608,Terra,MODIS,67,6.1NRT,301.5,8.63,D
-18.7851,44.77986,326.78,1.06,1.03,2025-11-01,0608,Terra,MODIS,79,6.1NRT,297.24,19.05,D
-18.78641,44.78959,317.34,1.06,1.03,2025-11-01,0608,Terra,MODIS,57,6.1NRT,297.64,8.53,D
-20.16582,46.57499,319.09,1.34,1.15,2025-11-01,0608,Terra,MODIS,66,6.1NRT,302.16,12.92,D
-20.49975,45.01779,322.48,1.11,1.05,2025-11-01,0608,Terra,MODIS,58,6.1NRT,302.22,9.71,D
-20.94103,46.25317,322.25,1.31,1.13,2025-11-01,0608,Terra,MODIS,63,6.1NRT,302.94,12.68,D
-20.78916,44.6937,322.99,1.09,1.04,2025-11-01,0608,Terra,MODIS,65,6.1NRT,302.74,8.96,D
-15.54085,48.61499,317.29,4.54,1.96,2025-11-01,1113,Aqua,MODIS,29,6.1NRT,293.94,58.8,D
-15.55514,48.60909,321.7,4.54,1.96,2025-11-01,1113,Aqua,MODIS,74,6.1NRT,294.59,99.07,D
-15.59037,48.27057,321.6,4.82,2,2025-11-01,1113,Aqua,MODIS,70,6.1NRT,297.4,97.46,D
-13.49681,49.4753,312.61,3.64,1.79,2025-11-01,1113,Aqua,MODIS,55,6.1NRT,292.05,38.13,D
-13.57642,48.58513,321.74,4.28,1.91,2025-11-01,1113,Aqua,MODIS,74,6.1NRT,292.29,101.01,D
-13.58049,48.5465,317.01,4.31,1.92,2025-11-01,1113,Aqua,MODIS,67,6.1NRT,292.26,64.26,D
-13.50184,49.46854,313.68,3.64,1.79,2025-11-01,1113,Aqua,MODIS,59,6.1NRT,292.04,43.43,D
-13.57141,48.57684,326.6,4.28,1.91,2025-11-01,1113,Aqua,MODIS,80,6.1NRT,292.54,140.84,D
-13.53377,48.60979,327.09,4.25,1.91,2025-11-01,1113,Aqua,MODIS,76,6.1NRT,292.96,137.78,D
-13.53793,48.57183,314.9,4.28,1.91,2025-11-01,1113,Aqua,MODIS,36,6.1NRT,292.53,39.11,D
-13.52929,48.60537,325.42,4.25,1.91,2025-11-01,1113,Aqua,MODIS,79,6.1NRT,293.02,121.3,D
-13.17682,49.78577,322.97,3.39,1.74,2025-11-01,1113,Aqua,MODIS,59,6.1NRT,284.13,81.45,D
-17.32167,48.7944,310.33,4.64,1.97,2025-11-01,1113,Aqua,MODIS,0,6.1NRT,286.79,70.36,D
-16.53302,48.95594,312.1,4.41,1.93,2025-11-01,1113,Aqua,MODIS,50,6.1NRT,286.99,69.63,D
-15.68484,48.59285,315.86,4.57,1.96,2025-11-01,1113,Aqua,MODIS,57,6.1NRT,294.36,57.21,D
-15.68302,48.58847,315.3,4.57,1.96,2025-11-01,1113,Aqua,MODIS,40,6.1NRT,294.47,50.64,D
-15.59111,48.27814,324.29,4.82,2,2025-11-01,1113,Aqua,MODIS,73,6.1NRT,297.38,125.14,D
-22.90073,43.71628,320.54,2.49,1.52,2025-11-01,1246,Aqua,MODIS,73,6.1NRT,299.71,23.06,D
-18.71915,46.40471,302.46,1,1,2025-11-01,1815,Terra,MODIS,49,6.1NRT,291.19,4.43,N
-18.83456,46.56206,311.65,1,1,2025-11-01,1815,Terra,MODIS,83,6.1NRT,292.11,10.05,N
-19.00652,46.25929,307.14,1,1,2025-11-01,1815,Terra,MODIS,70,6.1NRT,293.12,6.1,N
-19.00524,46.2686,307.08,1,1,2025-11-01,1815,Terra,MODIS,70,6.1NRT,293.12,6.12,N
-19.36173,44.55847,303.65,1.1,1.04,2025-11-01,1815,Terra,MODIS,53,6.1NRT,293.45,4.34,N
-19.50601,44.49715,303.86,1.1,1.05,2025-11-01,1815,Terra,MODIS,57,6.1NRT,293.85,3.98,N
-19.5047,44.50749,310.92,1.1,1.05,2025-11-01,1815,Terra,MODIS,81,6.1NRT,294.24,9.53,N
