latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-22.30228,46.53877,341.81,0.52,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,309.88,7.92,D
-24.63148,46.80772,330.64,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,299.65,4.82,D
-24.54617,47.25525,336.25,0.53,0.42,2025-11-01,1053,N,VIIRS,n,2.0NRT,301.36,2.5,D
-24.62239,46.83653,343.12,0.5,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.63,26.86,D
-24.72568,46.23663,338.42,0.47,0.4,2025-11-01,1053,N,VIIRS,l,2.0NRT,311.55,3.46,D
-24.5755,47.0299,335.39,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.57,9.66,D
-25.01779,44.37535,346.78,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,303.62,5.63,D
-24.91053,44.99751,344.18,0.42,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,311.1,10.94,D
-24.90706,44.9968,346.41,0.42,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,311.46,11.72,D
-24.56847,46.89644,331.5,0.51,0.41,2025-11-01,1053,N,VIIRS,n,2.0NRT,298.49,2.82,D
-24.7097,46.11406,337.61,0.46,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,312.22,2.61,D
-24.87018,45.1927,348.36,0.43,0.38,2025-11-01,1053,N,VIIRS,n,2.0NRT,316.12,36.93,D
-24.9707,44.49018,346.9,0.41,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,310.96,34.91,D
-24.97136,44.48617,318.04,0.4,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,323.05,34.91,D
-24.70171,46.03238,347.98,0.46,0.39,2025-11-01,1053,N,VIIRS,n,2.0NRT,317.23,30.02,D
-24.96729,44.4895,330.19,0.41,0.37,2025-11-01,1053,N,VIIRS,l,2.0NRT,302.98,34.91,D
-24.9733,44.4533,330.85,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,302.53,1.25,D
-23.21908,43.78992,343.27,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,307.58,7.7,D
-22.98859,45.12949,340.9,0.44,0.39,2025-11-01,1053,N,VIIRS,l,2.0NRT,311.06,10.75,D
-23.21441,43.7971,337.78,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,305.28,4.23,D
-23.21505,43.79319,345.6,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.36,7.51,D
-23.21569,43.78928,341.14,0.4,0.37,2025-11-01,1053,N,VIIRS,n,2.0NRT,306.53,7.51,D
-22.66399,46.89654,336.76,0.54,0.42,2025-11-01,1053,N,VIIRS,l,2.0NRT,307.09,2.43,D
-22.99033,45.12708,343.57,0.44,0.39,2025-11-01,1053,N,VIIRS,n,2.0NRT,309.89,8.77,D
